date,book,chapter_slug,word_count,sources_count,verify_flag_count,pantry_notes_found,pantry_lib_files_used,thin_pantry,mechanism_explained,contested_claims_flagged
2026-06-14,cli-agnostic-ai-tooling-for-local-project-workflows,01-why-your-agent-reads-the-wrong-file,779,2,0,yes,2,no,"Agents infer canonical files from filesystem structure; context rot makes broad reading costly.",0
2026-06-14,cli-agnostic-ai-tooling-for-local-project-workflows,02-the-greenfield-project-what-clean-looks-like,752,2,0,yes,2,no,"Folder taxonomy separates source, current, generated, archived, and indexed project files so agents can navigate safely.",0
2026-06-14,cli-agnostic-ai-tooling-for-local-project-workflows,03-the-manifest-telling-the-agent-what-to-read-and-what-to-ignore,621,4,0,yes,2,no,"Manifest tiers implement progressive disclosure for just-in-time context loading.",0
2026-06-14,cli-agnostic-ai-tooling-for-local-project-workflows,04-project-rules-and-instruction-precedence,717,4,0,yes,2,no,"One canonical rules file plus thin or generated adapters prevents cross-tool instruction drift.",0
2026-06-14,cli-agnostic-ai-tooling-for-local-project-workflows,05-the-five-context-cost-types-where-your-tokens-are-going,692,3,0,yes,2,no,"Context cost separates into fixed, per-task, accumulated, tool-output, connector/MCP, and ordering/cache concerns.",0
2026-06-14,cli-agnostic-ai-tooling-for-local-project-workflows,06-session-hygiene-and-state-files-not-losing-your-mind-between-sessions,570,2,0,yes,2,no,"State files externalize durable decisions so fresh sessions do not lose continuity.",0
2026-06-14,cli-agnostic-ai-tooling-for-local-project-workflows,07-compaction-clearing-and-knowing-when-to-start-fresh,495,1,0,yes,1,no,"Compaction preserves selected state; clearing resets; fresh sessions isolate tasks or reviewers.",0
2026-06-14,cli-agnostic-ai-tooling-for-local-project-workflows,08-one-folder-many-tools-making-cross-tool-workflows-work,638,4,0,yes,2,no,"Portable core files plus tool-specific adapters and ignore-file conventions make one folder usable across multiple agents.",0
2026-06-14,cli-agnostic-ai-tooling-for-local-project-workflows,09-mcp-servers-and-context-the-silent-tax-youre-probably-paying,503,2,0,yes,2,no,"MCP servers add tool-surface and payload costs that should be scoped and aggregated.",0
2026-06-14,cli-agnostic-ai-tooling-for-local-project-workflows,10-agent-workflow-patterns-that-actually-work,790,1,0,yes,2,no,"Workflow patterns separate roles and agent-friendly CLIs make work testable and reduce self-grading.",0
2026-06-14,cli-agnostic-ai-tooling-for-local-project-workflows,11-file-safety-never-delete-always-archive,650,1,0,yes,1,no,"Archive-not-delete, deterministic guards, and large-file rules reduce filesystem blast radius.",0
2026-06-14,cli-agnostic-ai-tooling-for-local-project-workflows,12-the-anti-patterns-checklist-eleven-things-youre-probably-still-doing,520,2,0,yes,2,no,"Recurring workflow failures cluster around weak project, source, session, and tool boundaries.",0
2026-06-14,cli-agnostic-ai-tooling-for-local-project-workflows,13-the-failure-mode-catalog-root-causes-and-mitigations,688,1,1,yes,2,no,"Failure diagnosis maps symptom to pattern, trigger, mitigation, and implementation order rather than guessing fixes.",0
2026-06-14,cli-agnostic-ai-tooling-for-local-project-workflows,14-governance-and-security-when-the-agent-has-shell-access,560,1,0,yes,2,no,"Least privilege constrains filesystem, shell, network, MCP, and ignore-file assumptions to task-sized blast radius.",0
2026-06-14,cli-agnostic-ai-tooling-for-local-project-workflows,15-does-any-of-this-actually-help-measuring-your-workflow,563,3,0,yes,2,no,"Rules files and adapters are measurable artifacts whose benefits must exceed context and maintenance cost.",0
